Dish,Category,Make next,Make soon?,required pre-prepared ingredient?,Requires,Vegetable ingredients,Vegetable 1,Vegetable 2,Vegetable 3,Vegetable 4,Meat ingredients,Meat 1,Meat 2,Meat 3,Seafood ingredients,Seafood 1,Seafood 2,Seafood 3,Herbs,Herb 1,Herb 2,Herb 3,Herb 4,Pre-prepared ingredients,Pre-prepared ingredient 1,Pre-prepared ingredient 2,Pre-prepared ingredient 3,"Grains, tubers or pulses",Grain/tuber/pulse 1,Grain/tuber/pulse 2,Dairy ingredients,Dairy 1,Dairy 2,Other (non-storecupboard) ingredients,Other ingredient 1,Other ingredient 2,Other ingredient 3,Method and other info,Method,Cuisine,Tags,url 1,url 2,url 3,Book,Page number,Picture 1,Picture 2,Picture 3,Comments
Tomato kafir lime,Sauces,18/07/2016,,FALSE,;Coriander;Spring onion;,,,,,,,,,,,,,,,Coriander,Spring onion,,,,,,,,,,,,,,,,,,"Fry shallots, garlic and dry chili. Add tomatoes with fish sauce, lime juice, palm sugar, shredded kafir lime. Thicken with corn starch slurry if desired. Good with fried fish. Garnish spring onion and coriander.",Vietnamese,,,,,,,,,,
Brocolini and tofu,Vegetable dishes,16/05/2016,,FALSE,";Broccolini;Coriander;Tofu, firm;",,Broccolini,,,,,,,,,,,,,Coriander,,,,,,,,,,,,,,,"Tofu, firm",,,,"Marinate 1cm tofu strips in 3 tbsp kecap manis, 4 tbsp sriacha, 2 tbsp sesame oil. Blanch broccolini 2 minutes, refresh. Fry tofu in hot skillet, add broccolini and marinade, garnish toasted  sesame seeds and coriander.",Chinese,,http://www.telegraph.co.uk/foodanddrink/recipes/4031177/Ottolenghis-broccolini-with-tofu-sesame-and-coriander.html,,,,,,,,
Prawns with coconut milk and cashews,Seafood dishes,,,FALSE,;Wing bean;Prawns;Lemongrass;,,Wing bean,,,,,,,,,Prawns,,,,Lemongrass,,,,,,,,,,,,,,,,,,,"Sous vide prawns at 52C for 20 minutes. Fry 6 finely chopped lemongrass sticks with a little belacan, remove and fry cashews, wing bean, garlic and shallots in turn. Combine everything in wok with tamarind water, coconut milk, gula melaka and red chili. Season.",Southeast Asian,,,,,Far Eastern Odessey,,,,,
Steamed fish with taucheo,Seafood dishes,01/06/2016,,FALSE,";Fish, white;Coriander;Spring onion;",,,,,,,,,,,"Fish, white",,,,Coriander,Spring onion,,,,,,,,,,,,,,,,,,"Sous vide fish (52C for 20-30 minutes) with julienned ginger, pinch of sugar and taucheo. Garnish with herbs, fried shallots and shallot oil - soy emulsion.",Chinese,,http://annieliciousfood.blogspot.sg/2013/05/steamed-fish-with-fermented-bean-paste.html,,,,,,,,Try snapper or threadfin. Pomfret = tough skin. Grouper = tough skin but easy to remove and very tastey.
Sea bass curry,Seafood dishes,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thai,,,,,Thai Street Food,,,,,
Duck and ikan bilis soup,Soups,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese,,,,,,,,,,
Green beans and sichuan vegetable,Vegetable dishes,01/10/2017,,FALSE,;Green beans;Zha Cai;,,Green beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zha Cai,,,,"Blister beans in hot wok, add garlic then zha cai. Oyster sauce.",Chinese,,,,,,,,,,
Seared tuna,Seafood dishes,,,FALSE,;Tuna;,,,,,,,,,,,Tuna,,,,,,,,,,,,,,,,,,,,,,,"Salt and sear 15 seconds per side on very hot, preheated cast iron skillet. Chill for 30 minutes.",Japanese,"Claudia favourite, Quick preparation",,,,Bar Tartine,269,Dishes_Images/Seared tuna.Picture 1.081829.jpg,,,
Ponzu,Sauces,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heat soy sauce with bonito flakes, steep, strain, add lemon juice to taste, sugar if desired. May need dilution. Can add mirin, rice vinegar and kombu.",Japanese,"Keeps well, Can prepare ahead, Quick preparation",,,,Bar Tartine,268,Dishes_Images/Bonito-infused ponzu.Picture 1.081236.jpg,,,"Alternatives: stout reduction. Optional: thinly sliced spring onion, grated ginger and daikon."
Saliva chicken,Meat dishes,09/12/2016,,FALSE,";Chicken, leg;Spring onion;Chicken stock;Sesame paste;",,,,,,,"Chicken, leg",,,,,,,,Spring onion,,,,,Chicken stock,,,,,,,,,,Sesame paste,,,,"Brine and sous vide chicken legs, deboned.

Mix:
3 parts chopped peanuts
1 part roasted sesame seeds
1 part red chili (chopped fresh or flakes).

Heat 80ml oil with spring onion, ginger, garlic, star anise, cinnamon, Sichuan pepper. Brown. Strain oil over peanuts. Infuse.
Mix with:
1 tbsp each sesame paste and rice vinegar
2 tbsp each soy and chicken stock
3 cloves chopped garlic.

Slice and dress chicken, serve cold. Garnish with coriander, spring onion, fresh chili and chili oil if desired.",Chinese,,http://thewoksoflife.com/2014/08/sichuan-chicken-chili-oil-sauce-kou-shui-ji/,,,,,,,,
Milk-crashing ginger,Desserts,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese,,,,,,,,,,
Green vegetable sambal,Vegetable dishes,26/09/2016,,FALSE,";Leafy green, generic;",,"Leafy green, generic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rempah shallots, red chilli, candenuts and belacan. Optional: prawns, prawn stock, dried prawns, coconut milk, gula melacca.",Southeast Asian,,,,,,,,,,
Sous vide duck breast,Meat dishes,20/06/2016,,FALSE,";Duck, breast;",,,,,,,"Duck, breast",,,,,,,,,,,,,,,,,,,,,,,,,,,"Remove skin. Brine breasts 3-12 hours with spices.
TK (1 litre water, 3 hour brine time):
100g sugar
100g salt
garlic clove
1.5g yellow mustard seeds
1.5g ground ginger
bay leaf
7 cloves
10 juniper
3.5g cracked peppercorns
1.5g cracked cordiander
Dry and chill for 1 hour. Sous vide 1hr at 57 with duck fat.",,,,,,,,,,,"Serve with bak choi, dark soy sauce, honey and duck glaze; or
Saurkraut.
Leftovers can be shredded and mixed with sriacha, dark sauce and sesame oil for sandwich/salad (optional: coriander, qp)."
Aioli,Sauces,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pulp 10 cloves of garlic with salt, add egg yolk, slowly blend 300ml olive oil, add juice from 1 lemon.

Good with steamed kai lan.",Spanish,,,,,Nose to Tail Eating,180,Dishes_Images/Aioli.Picture.030841.jpg,,,
Steamed chye sim,Vegetable dishes,,,FALSE,;Chye sim;,,Chye sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steam for 3 to 5 minutes,,,,,,,,,,,"Best when young, good with ang moh style stew or meaty sauce."
Tartine country bread,Carbohydrates,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sous vide beef chuck,Meat dishes,,,FALSE,";Beef, chuck;",,,,,,,"Beef, chuck",,,,,,,,,,,,,,,,,,,,,,,,,,,Sous vide for 24 to 72 hours at 55C.,,,,,,,,,,,"Sous vide with fish sauce, vinegar. Serve with stock, wine reduction."
Luffa and egg,Soups,13/09/2016,,FALSE,;Luffa;Chicken stock;,,Luffa,,,,,,,,,,,,,,,,,,Chicken stock,,,,,,,,,,,,,,"Peel and deseed luffa if necessary, slice. Cook in chicken stock, season with soy sauce and pepper if desired. Break in egg just before serving. Optional: spring onion.",Chinese,Claudia favourite,,,,,,,,,
Stir-fried bai cai,Vegetable dishes,,,FALSE,;Bai cai;Chicken stock;,,Bai cai,,,,,,,,,,,,,,,,,,Chicken stock,,,,,,,,,,,,,,"Fry garlic and chopped stems, wilt leaves. Add salt and rice wine or concentrated chicken stock if desired.",Chinese,Quick preparation,,,,,,,,,
Steamed rice,Carbohydrates,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steamed rice, short grain",Carbohydrates,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonnato,Pre-prepared ingredients,12/07/2016,,FALSE,;Potato;,,,,,,,,,,,,,,,,,,,,,,,,Potato,,,,,,,,,,"Slowly heat 1 can of tuna with extra grapseed oil, 6 garlic cloves and 2 dried shiitake. When garlic is soft, strain and chill.

Add potato (1 boiled or starch), tuna and garlic, fish sauce, 3 anchovies, 2 egg yolks and squeeze of lemon juice to food processor. Puree until smooth, then gradually add strained oil. Adjust seasoning.",Italian,,,,,Bar Tartine,272,Recipes_Images/Tonnato.Picture 1.012841.jpg,,,
Brined garlic chives,Pre-prepared ingredients,,,FALSE,;Garlic chives;,,Garlic chives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6% brine at room temperature until sour (2 weeks?). Fridge for up to a year.,,,,,,Bar Tartine,107,Recipes_Images/Brined garlic chives.Picture 1.013302.jpg,,,
Farmer's cheese,Pre-prepared ingredients,18/12/2016,,FALSE,";Cream, heavy;Milk, whole;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cream, heavy","Milk, whole",,,,,,,,,Bar Tartine,67,Recipes_Images/Farmer-s cheese.Picture 1.014045.jpg,Recipes_Images/Farmer-s cheese.Picture 2.014047.jpg,,
Farmer's cheesecake,Desserts,,,FALSE,;Kefir butter;Farmer's cheese;Buckwheat flour;Caraway seeds;Cream cheese;Butter;,,,,,,,,,,,,,,,,,,,,Kefir butter,Farmer's cheese,,,Buckwheat flour,,,Cream cheese,,,Caraway seeds,Cream cheese,Butter,,,,,,,,Bar Tartine,348,Recipes_Images/Farmer-s cheesecake.Picture 1.015106.jpg,Recipes_Images/Farmer-s cheesecake.Picture 2.014929.jpg,Recipes_Images/Farmer-s cheesecake.Picture 3.014931.jpg,Kefir butter not necessary. Farmers cheese should be fairly sour. Go easy on honey. Do not grind crumbs too finely.
Kefir butter,Pre-prepared ingredients,,,FALSE,";Dairy kefir gains;Cream, heavy;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy kefir gains,"Cream, heavy",,,,,,,,,Bar Tartine,76,Recipes_Images/Kefir butter-butter milk.Picture 1.020043.jpg,,,
Kefir buttermilk,Pre-prepared ingredients,,,FALSE,";Dairy kefir gains;Cream, heavy;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy kefir gains,"Cream, heavy",,,,,,,,,Bar Tartine,76,Recipes_Images/Kefir butter-butter milk.Picture 1.020043.jpg,,,
Smoked potatoes,Carbohydrates,,,FALSE,;Parsley;Dill;Spring onion;Potato;,,,,,,,,,,,,,,,Parsley,Dill,Spring onion,,,,,,,,,,,,,Potato,,,,"Use small potatoes, roast with salt and grapeseed oil in medium oven for 30 minutes. Slow smoke 1 to 2 hours until browned.
Cool, smash slightly, and deep fry 4 mins @ 180C until crisp. Garnish with herbs, pickled garlic chives, black garlic vinaigrette and garlic chive mayo. ",,,,,,Bar Tartine,227,,,,
Black garlic vinaigrette,Sauces,,,FALSE,;Black garlic;,,Black garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heat 1 cup rice vinegar with 6 dried shiitake, steep 30 mins, strain. Puree vinegar with 12 cloves black garlic, 3 cloves garlic, 30ml grapeseed oil, brown sugar and salt to taste.",,"Keeps well, Can prepare ahead",,,,Bar Tartine,227,,,,
Garlic chive mayonnaise,Sauces,,,FALSE,;Brined garlic chives;,,,,,,,,,,,,,,,,,,,,Brined garlic chives,,,,,,,,,,,,,,"Drain and chop half cup garlic chives, add 2 egg yolks, squeeze of lemon, salt and pepper. Emulsify with 240ml grapeseed oil.",,,,,,Bar Tartine,226,,,,
Chicken stock,Pre-prepared ingredients,,,FALSE,";Chicken, whole;",,,,,,,"Chicken, whole",,,,,,,,,,,,,,,,,,,,,,,,,,,"Roast carcass or offcuts (or blanch). Cook chicken at 75C for 12 hours with herbs, aromatics, konbu. Add roasted occ if desired. Wine or cured pork optional.",,,,,,,,,,,
Bread crumbs,Pre-prepared ingredients,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitello Tonnato,Meat dishes,,,FALSE,;Veal;Parsley;Tonnato;,,,,,,,Veal,,,,,,,,Parsley,,,,,Tonnato,,,,,,,,,,,,,,"Blanch meat and refresh. Sous vide at 55C for 2 hours - 2 days depending on thickness/cut (large piece better). Cool and slice thinly. Layer tonnato and veal slices, chill for 48 hours. Garnishes: black olives, capers, parsley, pickled garlic chives.
Alternatives: pork fillet, turkey breast",Italian,Multi-day preparation,,,,,,,,,
Green sauce,Sauces,,,FALSE,;Parsley;Mint;Dill;Tarragon;,,,,,,,,,,,,,,,Parsley,Mint,Dill,Tarragon,,,,,,,,,,,,,,,,"Finely chop garlic (or brined garlic stems) and anchovies, roughly chopped capers, chopped herbs. Mix with olive oil for loose and spoonable consistency. Season with pepper.",British,Can prepare ahead,,,,Nose to Tail Eating,183,Recipes_Images/Green sauce.Picture 1.113541.jpg,,,"Use mixture of curly and flat-leaved parsley. Easy on the dill and (especially) the tarragon. Optional: chopped egg, cornichons (just before serving). Add red wine vinegar, mustard and more oil for salad dressing."
"Chicken with bay, garlic and wine",Meat dishes,28/02/2016,,FALSE,";Chicken, leg;",,,,,,,"Chicken, leg",,,,,,,,,,,,,,,,,,,,,,,,,,,"Brine chicken if possible. Fry one bulb of garlic cloves in olive oil, skins on. Remove. Brown chicken thoroughly, return garlic with 4 bay leaves and glass of white wine. Deglaze and reduce alcohol, add a splash of water or chicken stock and cover until cooked. Shake to emulsify.",Spanish,Quick preparation,,,,Moro,220,,,,
Grilled corn,Vegetable dishes,,,FALSE,;Sweet corn;,,Sweet corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Char cobs and hot griddle. Season and dress with lemon or lime butter, olive or chilli oil.",,,,,,,,,,,
French onion soup,Soups,,,FALSE,";Chicken stock;Cream, heavy;Country bread;",,,,,,,,,,,,,,,,,,,,Chicken stock,,,,,,,"Cream, heavy",,,Country bread,,,,"Slice and salt 3 large onions. Caramelise with duck fat and 80ml cream. Controlled browning, periodically deglaze with white wine. Add stock and simmer 15 minutes. Toast bread in medium oven, grill with grated gruyere and allow to soak into soup for 10 minutes.",French,,,,,Tartine Bread,231,Recipes_Images/French onion soup.Picture 1.031604.jpg,,,
Sous vide pork collar,Meat dishes,,,FALSE,";Pork, collar;",,,,,,,"Pork, collar",,,,,,,,,,,,,,,,,,,,,,,,,,,"Brine pork collar or similar (6% salt, 3% sugar overnight). Caramalise pork with oil-disolved sugar, sous vide with chosen seasoning. Options: pernod, garlic powder, fennel; miso, mirin, sake; dark soy and spices.",,,,,,,,,,,
Pork-stuffed luffa,Meat dishes,13/06/2016,,FALSE,";Luffa;Pork, mince;Spring onion;Chicken stock;",,Luffa,,,,,"Pork, mince",,,,,,,,Spring onion,,,,,Chicken stock,,,,,,,,,,,,,,"Mix pork stuffing (options: soy sauce, preserved vegetable, coriander/spring onion, sesame oil, shitake mushrooms, shredded scallops, ginger, rice wine). Peel and core luffa (leaving some flesh), stuff (solidly) and brown on both sides. Add chicken stock, cover wok and steam for 15 minutes. Season and reduce/thicken sauce as desired.",Chinese,,,,,,,,,,
Preserved mustard greens,Pre-prepared ingredients,,,FALSE,;Mustard greens;,,Mustard greens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet corn with miso butter,Vegetable dishes,,,FALSE,;Sweet corn;Bacon;Spring onion;Chicken stock;,,Sweet corn,,,,,Bacon,,,,,,,,Spring onion,,,,,Chicken stock,,,,,,,,,,,,,,"Caramelise onions as for onion soup. Mix room-temperature butter with miso (ratio 3:5). Crisp bacon batons in skillet, remove excess fat, fry corn kernels in grapeseed oil. Return bacon with onions, miso butter, stock. Reduce for a minute until sauce coats corn. Season and garnish generously with spring onion. Can add lettuce.",Western,,,,,Momofuku,93,Recipes_Images/Sweet corn with miso butter.Picture 1.015718.jpg,,,
Ginger spring onion sauce,Sauces,,,FALSE,;Spring onion;,,,,,,,,,,,,,,,Spring onion,,,,,,,,,,,,,,,,,,,"Thinly slice 250g spring onion, mix with 50g finely chopped ginger, 60g grapeseed oil, 8g soy sauce, and 4g shreery vinegar. Salt to taste, rest for 15 minutes.",Korean,,,,,Momofuku,57,,,,
Ssam sauce,Sauces,,,FALSE,;Ssamjang;Kochujang;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ssamjang,Kochujang,,,,"Combine 1 tbps ssamjang, 0.5 tbsp kochujang, 4 tbsp sherry vinegar, 4 tbsp grapeseed oil.",Korean,,,,,Momofuku,167,,,,Could use miso + kochujang (chilli paste) in place of ssamjang. Thinning with water would be healthier than oil.
Dashi,Pre-prepared ingredients,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wipe large piece of konbu, bring to simmer with 2l water. Do not boil. Steep 10 minutes, add 2 handfuls bonito flakes, steep 7 minutes, strain.",Japanese,,,,,,,,,,"Shizuo Tsuji suggests more concentrated (30g each konbu and bonito for 1I water) for primary dashi (soup). Remove konbu, then bring bonito to boil for a few seconds, take off heat and alllow to sink. Reuse konbu and bonito for secondary dashi (broth), simmer with 1.5I water until reduced by 1/3 or 1/2. Add fresh bonito and allow to sink."
Tamarind sauce,Sauces,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heat tamarind paste, palm sugar and fish sauce to taste. Garnish fried garlic, chillipadi and shallots. Good with fried fish.",Southeast Asian,,,,,,,,,,
Cha ca,Seafood dishes,,,FALSE,";Lettuce;Fish, white;Dill;Spring onion;Mint;Coriander;",,Lettuce,,,,,,,,,"Fish, white",,,,Dill,Spring onion,Mint,Coriander,,,,,,,,,,,,,,,,,Vietnamese,,,,,Far Eastern Odessey,52,Recipes_Images/Cha ca.Picture 1.024659.jpg,,,
Buah keluak fried rice,Carbohydrates,,,FALSE,";Wing bean;Pork, mince;Prawns;Coriander;Sambal buah keluak;",,Wing bean,,,,,"Pork, mince",,,,Prawns,,,,Coriander,,,,,,,,,,,,,,,Sambal buah keluak,,,,"Fry garlic and wing bean; shallots; pork and prawns in turn. Fry buah keluak rempah (don't be stingy), add rice then return everything else. Season, garnish shredded kafir lime leaf and coriander.",Southeast Asian,,,,,,,Recipes_Images/Buah keluak fried rice.Picture 1.010116.jpg,,,
Jollof rice,Carbohydrates,,,FALSE,";Tomatoes, fresh;Carrots;Chicken, leg;Chicken stock;",,"Tomatoes, fresh",Carrots,,,,"Chicken, leg",,,,,,,,,,,,,Chicken stock,,,,,,,,,,,,,,"Marinade/brine chicken with onion, garlic and chili. 
Seed tomatoes and extract juice.
Brown chicken in casserole, remove and fry ogg. Add pinch curry powder or ???, fresh tomatoes and puree. Add rice, chicken, stock and tomato juice. Err on too little liquid.
Bake in medium oven for 15 minutes. Stir, add more stock if necessary and return for 10.
Cook veg (eg. carrots, peas, peppers, beans, corn) and add to rice.",West African,,,,,The Ghana Cookbook,156,,,,
Roasted mushrooms with chestnuts,Vegetable dishes,,,FALSE,;Mushrooms;Sage;Tarragon;Chestnuts;,,Mushrooms,,,,,,,,,,,,,Sage,Tarragon,,,,,,,,,,,,,,Chestnuts,,,,"Roast together in hot oven until caramalised: assorted mushrooms (eg. portobello, chestnut), peeled whole shallots, sliced garlic, chestnuts, a few sage leaves, olive oil, salt and pepper. Garnish with tarragon, zaatar and lemon juice.
",,,http://www.theguardian.com/lifeandstyle/2015/nov/14/mushroom-recipes-yotam-ottolengi-samosas-baked-polenta,,,,,,,,
Wilted sweet potato leaves,Vegetable dishes,,,FALSE,;Sweet potato leaves;,,Sweet potato leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roasted ladies fingers,Vegetable dishes,14/06/2016,,FALSE,;Ladies fingers;,,Ladies fingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nice with tamarind sauce
Kimchi,Vegetable dishes,,,FALSE,";Cabbage, chinese;",,"Cabbage, chinese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korean,Multi-day preparation,,,,,,,,,
Sauerkraut,Vegetable dishes,,,FALSE,";Cabbage, white;",,"Cabbage, white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multi-day preparation,,,,,,,,,
Tomato gravy,Sauces,,,FALSE,";Tomatoes, fresh;Chicken stock;",,"Tomatoes, fresh",,,,,,,,,,,,,,,,,,Chicken stock,,,,,,,,,,,,,,"Soften onion in oil, add minced garlic and ginger. Add diced tomatoes, a squeeze of tomato puree, stock and chilli (habanero). Simmer to desired consistency, season.
Can peel/seed tomatoes, puree after cooking. Add nutmeg, white pepper, grains of paradise, ghost chilli. More stock or whey for egg stew. Add beaten egg and do not stir.
Try belacan.",West African,,,,,The Ghana Cookbook,39,,,,
Chilli sambal,Sauces,,,FALSE,";Lime, calamansi;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lime, calamansi",,,,"Rempah roasted belacan (not too much), shallots, rehydrated chili, fresh chili, garlic, candlenut. Fry till fragrant, add tamarind, gula Melaka and kalamansi lime to taste.",Southeast Asian,,,,,,,,,,
Prawn pork stock,Pre-prepared ingredients,,,FALSE,";Carrots;Celery;Pork, bones;Prawns;",,Carrots,Celery,,,,"Pork, bones",,,,Prawns,,,,,,,,,,,,,,,,,,,,,,,"Roast pork bones 30 minutes in hot oven.
Fry prawn shells, simmer for 15 minutes with occ, peppercorns, bay. Steep then strain. Add konbu and pork bones and cook at 80C for 12 hours.
Strain, reduce and skim.",,,,,,,,,,,
